GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
8600000US92024,92024,ZCTA5 92024,50246,768
8600000US92025,92025,ZCTA5 92025,53742,1389
8600000US92026,92026,ZCTA5 92026,49327,1719
8600000US92027,92027,ZCTA5 92027,56899,1404
8600000US92028,92028,ZCTA5 92028,48468,1635
8600000US92029,92029,ZCTA5 92029,18758,792
8600000US92036,92036,ZCTA5 92036,2700,491
8600000US92037,92037,ZCTA5 92037,38659,1131
8600000US92040,92040,ZCTA5 92040,43191,1557
8600000US92054,92054,ZCTA5 92054,42523,1808
8600000US92055,92055,ZCTA5 92055,12926,1520
8600000US92056,92056,ZCTA5 92056,53920,1582
8600000US92057,92057,ZCTA5 92057,57125,1856
8600000US92058,92058,ZCTA5 92058,46463,2440
8600000US92059,92059,ZCTA5 92059,1177,210
8600000US92060,92060,ZCTA5 92060,79,50
8600000US92061,92061,ZCTA5 92061,2046,680
8600000US92064,92064,ZCTA5 92064,49763,108
8600000US92065,92065,ZCTA5 92065,37633,1307
8600000US92066,92066,ZCTA5 92066,530,249
8600000US92067,92067,ZCTA5 92067,9127,921
8600000US92069,92069,ZCTA5 92069,48682,1406
8600000US92070,92070,ZCTA5 92070,1034,311
8600000US92071,92071,ZCTA5 92071,56682,129
8600000US92075,92075,ZCTA5 92075,12548,220
8600000US92078,92078,ZCTA5 92078,48009,1480
8600000US92081,92081,ZCTA5 92081,28976,1249
8600000US92082,92082,ZCTA5 92082,18722,1662
8600000US92083,92083,ZCTA5 92083,37367,1358
8600000US92084,92084,ZCTA5 92084,50915,1734
8600000US92086,92086,ZCTA5 92086,1672,249
8600000US92091,92091,ZCTA5 92091,1473,307
8600000US92101,92101,ZCTA5 92101,36857,1710
8600000US92102,92102,ZCTA5 92102,44778,1603
8600000US92103,92103,ZCTA5 92103,33873,1160
8600000US92104,92104,ZCTA5 92104,45788,1942
8600000US92105,92105,ZCTA5 92105,72724,1993
8600000US92106,92106,ZCTA5 92106,18864,1060
8600000US92107,92107,ZCTA5 92107,29292,1019
8600000US92108,92108,ZCTA5 92108,20899,1122
8600000US92109,92109,ZCTA5 92109,48430,1858
8600000US92110,92110,ZCTA5 92110,28508,1044
8600000US92111,92111,ZCTA5 92111,48380,1281
8600000US92113,92113,ZCTA5 92113,57887,1917
8600000US92114,92114,ZCTA5 92114,69688,1441
8600000US92115,92115,ZCTA5 92115,64410,1895
8600000US92116,92116,ZCTA5 92116,32920,1128
8600000US92117,92117,ZCTA5 92117,54489,1242
8600000US92118,92118,ZCTA5 92118,23473,265
8600000US92119,92119,ZCTA5 92119,23456,671
8600000US92120,92120,ZCTA5 92120,28518,1211
8600000US92121,92121,ZCTA5 92121,4588,393
8600000US92122,92122,ZCTA5 92122,47314,1334
8600000US92123,92123,ZCTA5 92123,30202,1292
8600000US92124,92124,ZCTA5 92124,31061,1103
8600000US92126,92126,ZCTA5 92126,80685,1943
8600000US92127,92127,ZCTA5 92127,43588,1442
8600000US92128,92128,ZCTA5 92128,49522,1060
8600000US92129,92129,ZCTA5 92129,55780,1420
8600000US92130,92130,ZCTA5 92130,51757,1600
8600000US92131,92131,ZCTA5 92131,34425,1035
8600000US92132,92132,ZCTA5 92132,0,12
8600000US92134,92134,ZCTA5 92134,216,121
8600000US92135,92135,ZCTA5 92135,851,147
8600000US92139,92139,ZCTA5 92139,36720,1176
8600000US92140,92140,ZCTA5 92140,3112,589
8600000US92145,92145,ZCTA5 92145,2096,400
8600000US92147,92147,ZCTA5 92147,569,209
8600000US92154,92154,ZCTA5 92154,88016,1939
8600000US92155,92155,ZCTA5 92155,528,199
8600000US92173,92173,ZCTA5 92173,32416,1226
8600000US92201,92201,ZCTA5 92201,64436,1181
8600000US92203,92203,ZCTA5 92203,29768,1367
8600000US92210,92210,ZCTA5 92210,4987,97
8600000US92211,92211,ZCTA5 92211,24623,1094
8600000US92220,92220,ZCTA5 92220,33101,545
8600000US92222,92222,ZCTA5 92222,0,12
8600000US92223,92223,ZCTA5 92223,49804,701
8600000US92225,92225,ZCTA5 92225,22242,441
8600000US92227,92227,ZCTA5 92227,27120,211
8600000US92230,92230,ZCTA5 92230,4088,682
8600000US92231,92231,ZCTA5 92231,40070,252
8600000US92233,92233,ZCTA5 92233,7770,153
8600000US92234,92234,ZCTA5 92234,53253,82
8600000US92236,92236,ZCTA5 92236,44124,203
8600000US92239,92239,ZCTA5 92239,196,92
8600000US92240,92240,ZCTA5 92240,35684,1046
8600000US92241,92241,ZCTA5 92241,9212,951
8600000US92242,92242,ZCTA5 92242,1332,145
8600000US92243,92243,ZCTA5 92243,49425,688
8600000US92249,92249,ZCTA5 92249,7960,758
8600000US92250,92250,ZCTA5 92250,8645,343
8600000US92251,92251,ZCTA5 92251,22496,572
8600000US92252,92252,ZCTA5 92252,8874,877
8600000US92253,92253,ZCTA5 92253,39435,185
8600000US92254,92254,ZCTA5 92254,12491,1108
8600000US92256,92256,ZCTA5 92256,3105,498
8600000US92257,92257,ZCTA5 92257,1770,411
8600000US92258,92258,ZCTA5 92258,435,314
8600000US92259,92259,ZCTA5 92259,197,128
8600000US92260,92260,ZCTA5 92260,33834,819
8600000US92262,92262,ZCTA5 92262,27561,585
8600000US92264,92264,ZCTA5 92264,19778,542
8600000US92266,92266,ZCTA5 92266,97,66
8600000US92267,92267,ZCTA5 92267,0,12
8600000US92268,92268,ZCTA5 92268,505,126
8600000US92270,92270,ZCTA5 92270,17876,41
8600000US92273,92273,ZCTA5 92273,1661,387
8600000US92274,92274,ZCTA5 92274,19326,1349
8600000US92275,92275,ZCTA5 92275,2174,500
8600000US92276,92276,ZCTA5 92276,7803,763
8600000US92277,92277,ZCTA5 92277,24028,766
8600000US92278,92278,ZCTA5 92278,4162,598
8600000US92280,92280,ZCTA5 92280,16,22
8600000US92281,92281,ZCTA5 92281,2249,327
8600000US92282,92282,ZCTA5 92282,1233,291
8600000US92283,92283,ZCTA5 92283,2287,287
8600000US92284,92284,ZCTA5 92284,25850,524
8600000US92285,92285,ZCTA5 92285,2556,427
8600000US92301,92301,ZCTA5 92301,32801,176
8600000US92304,92304,ZCTA5 92304,21,27
8600000US92305,92305,ZCTA5 92305,519,175
8600000US92307,92307,ZCTA5 92307,38583,1214
8600000US92308,92308,ZCTA5 92308,40285,1223
8600000US92309,92309,ZCTA5 92309,742,201
8600000US92310,92310,ZCTA5 92310,9337,859
8600000US92311,92311,ZCTA5 92311,33962,928
8600000US92313,92313,ZCTA5 92313,12432,74
8600000US92314,92314,ZCTA5 92314,11997,899
8600000US92315,92315,ZCTA5 92315,5282,144
8600000US92316,92316,ZCTA5 92316,30231,1479
8600000US92320,92320,ZCTA5 92320,8364,54
8600000US92321,92321,ZCTA5 92321,1214,375
8600000US92322,92322,ZCTA5 92322,696,324
8600000US92324,92324,ZCTA5 92324,58854,980
8600000US92325,92325,ZCTA5 92325,8019,838
8600000US92327,92327,ZCTA5 92327,544,331
8600000US92328,92328,ZCTA5 92328,292,89
8600000US92332,92332,ZCTA5 92332,3,6
8600000US92333,92333,ZCTA5 92333,217,111
8600000US92335,92335,ZCTA5 92335,99079,2242
8600000US92336,92336,ZCTA5 92336,92306,1908
8600000US92337,92337,ZCTA5 92337,39074,1265
8600000US92338,92338,ZCTA5 92338,0,12
8600000US92339,92339,ZCTA5 92339,1171,236
8600000US92341,92341,ZCTA5 92341,231,105
8600000US92342,92342,ZCTA5 92342,7058,948
8600000US92344,92344,ZCTA5 92344,22259,1285
8600000US92345,92345,ZCTA5 92345,81094,1133
8600000US92346,92346,ZCTA5 92346,60320,1905
8600000US92347,92347,ZCTA5 92347,1372,481
8600000US92352,92352,ZCTA5 92352,6601,878
8600000US92354,92354,ZCTA5 92354,20963,945
8600000US92356,92356,ZCTA5 92356,5995,777
8600000US92358,92358,ZCTA5 92358,1069,256
8600000US92359,92359,ZCTA5 92359,8710,666
8600000US92363,92363,ZCTA5 92363,5356,98
8600000US92364,92364,ZCTA5 92364,0,12
8600000US92365,92365,ZCTA5 92365,2601,602
8600000US92368,92368,ZCTA5 92368,937,228
8600000US92371,92371,ZCTA5 92371,16721,1397
8600000US92372,92372,ZCTA5 92372,5763,870
8600000US92373,92373,ZCTA5 92373,35149,1319
8600000US92374,92374,ZCTA5 92374,41452,1178
8600000US92376,92376,ZCTA5 92376,85857,1841
8600000US92377,92377,ZCTA5 92377,20370,1256
8600000US92378,92378,ZCTA5 92378,154,123
8600000US92382,92382,ZCTA5 92382,5006,557
8600000US92384,92384,ZCTA5 92384,24,25
8600000US92385,92385,ZCTA5 92385,296,118
8600000US92386,92386,ZCTA5 92386,1992,465
8600000US92389,92389,ZCTA5 92389,133,44
8600000US92391,92391,ZCTA5 92391,3227,694
8600000US92392,92392,ZCTA5 92392,57648,2669
8600000US92394,92394,ZCTA5 92394,36017,2034
8600000US92395,92395,ZCTA5 92395,41384,1619
8600000US92397,92397,ZCTA5 92397,4853,791
8600000US92398,92398,ZCTA5 92398,1588,707
8600000US92399,92399,ZCTA5 92399,54335,392
8600000US92401,92401,ZCTA5 92401,1885,456
8600000US92404,92404,ZCTA5 92404,58738,2514
8600000US92405,92405,ZCTA5 92405,29897,1731
8600000US92407,92407,ZCTA5 92407,64225,2075
8600000US92408,92408,ZCTA5 92408,15788,1218
8600000US92410,92410,ZCTA5 92410,48660,1977
8600000US92411,92411,ZCTA5 92411,26437,988
8600000US92501,92501,ZCTA5 92501,21975,994
8600000US92503,92503,ZCTA5 92503,94029,2231
8600000US92504,92504,ZCTA5 92504,57004,2098
8600000US92505,92505,ZCTA5 92505,49705,1415
