xYear,State,County,Zip,Schedule_Group,rundatetime,RxCount,Population
2015,CA,Los Angeles,91077,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,91101,2,01APR2018:11:21:17,16349,"20,460"
2015,CA,Los Angeles,91102,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,91103,2,01APR2018:11:21:17,4926,"27,480"
2015,CA,Los Angeles,91104,2,01APR2018:11:21:17,4119,"36,751"
2015,CA,Los Angeles,91105,2,01APR2018:11:21:17,82695,"11,254"
2015,CA,Los Angeles,91106,2,01APR2018:11:21:17,10268,"24,229"
2015,CA,Los Angeles,91107,2,01APR2018:11:21:17,34115,"32,940"
2015,CA,Los Angeles,91108,2,01APR2018:11:21:17,8574,"13,361"
2015,CA,Los Angeles,91109,2,06MAY2016:01:08:29,1754,
2015,CA,Los Angeles,91110,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,91114,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,91115,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,91116,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,91117,2,06MAY2016:01:08:29,150,
2015,CA,Los Angeles,91118,2,06MAY2016:01:08:29,36,
2015,CA,Los Angeles,91121,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,91123,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,91124,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,91125,2,06MAY2016:01:08:29,41,
2015,CA,Los Angeles,91126,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,91129,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,91182,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,91184,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,91185,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,91188,2,06MAY2016:01:08:29,1725,
2015,CA,Los Angeles,91189,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,91199,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,91201,2,01APR2018:11:21:17,1733,"22,781"
2015,CA,Los Angeles,91202,2,01APR2018:11:21:17,6737,"22,830"
2015,CA,Los Angeles,91203,2,01APR2018:11:21:17,11600,"13,220"
2015,CA,Los Angeles,91204,2,01APR2018:11:21:17,17293,"16,032"
2015,CA,Los Angeles,91205,2,01APR2018:11:21:17,13908,"37,810"
2015,CA,Los Angeles,91206,2,01APR2018:11:21:17,31621,"33,065"
2015,CA,Los Angeles,91207,2,01APR2018:11:21:17,826,"10,506"
2015,CA,Los Angeles,91208,2,01APR2018:11:21:17,11007,"16,245"
2015,CA,Los Angeles,91209,2,06MAY2016:01:08:29,88,
2015,CA,Los Angeles,91210,2,01APR2018:11:21:17,430,328
2015,CA,Los Angeles,91214,2,01APR2018:11:21:17,1370,"30,356"
2015,CA,Los Angeles,91221,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,91222,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,91224,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,91225,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,91226,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,91301,2,01APR2018:11:21:17,22293,"25,488"
2015,CA,Los Angeles,91302,2,01APR2018:11:21:17,7351,"25,709"
2015,CA,Los Angeles,91303,2,01APR2018:11:21:17,10358,"26,855"
2015,CA,Los Angeles,91304,2,01APR2018:11:21:17,1839,"50,231"
2015,CA,Los Angeles,91305,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,91306,2,01APR2018:11:21:17,1779,"45,061"
2015,CA,Los Angeles,91307,2,01APR2018:11:21:17,31912,"24,474"
2015,CA,Los Angeles,91308,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,91309,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,91310,2,06MAY2016:01:08:29,759,
2015,CA,Los Angeles,91311,2,01APR2018:11:21:17,2815,"36,557"
2015,CA,Los Angeles,91313,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,91316,2,01APR2018:11:21:17,24956,"26,898"
2015,CA,Ventura,91319,2,06MAY2016:01:08:29,0,
2015,CA,Ventura,91320,2,01APR2018:11:21:17,16370,"44,274"
2015,CA,Los Angeles,91321,2,01APR2018:11:21:17,13350,"34,882"
2015,CA,Los Angeles,91322,2,06MAY2016:01:08:29,297,
2015,CA,Los Angeles,91324,2,01APR2018:11:21:17,32868,"27,669"
2015,CA,Los Angeles,91325,2,01APR2018:11:21:17,30968,"32,417"
2015,CA,Los Angeles,91326,2,01APR2018:11:21:17,13486,"33,708"
2015,CA,Los Angeles,91327,2,06MAY2016:01:08:29,1142,
2015,CA,Los Angeles,91328,2,06MAY2016:01:08:29,3233,
2015,CA,Los Angeles,91329,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,91330,2,01APR2018:11:21:17,117,"2,702"
2015,CA,Los Angeles,91331,2,01APR2018:11:21:17,5083,"103,689"
2015,CA,Los Angeles,91333,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,91334,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,91335,2,01APR2018:11:21:17,12924,"74,363"
2015,CA,Los Angeles,91337,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,91340,2,01APR2018:11:21:17,6014,"34,188"
2015,CA,Los Angeles,91341,2,06MAY2016:01:08:29,179,
2015,CA,Los Angeles,91342,2,01APR2018:11:21:17,18482,"91,725"
2015,CA,Los Angeles,91343,2,01APR2018:11:21:17,2240,"60,254"
2015,CA,Los Angeles,91344,2,01APR2018:11:21:17,8843,"51,747"
2015,CA,Los Angeles,91345,2,01APR2018:11:21:17,41727,"18,496"
2015,CA,Los Angeles,91346,2,06MAY2016:01:08:29,2192,
2015,CA,Los Angeles,91350,2,01APR2018:11:21:17,10510,"33,348"
2015,CA,Los Angeles,91351,2,01APR2018:11:21:17,4668,"32,362"
