,Zip,County,State,Year,Total Pop,Male Pop,Pct Male,Female Pop,Pct Female,Total Employable Pop,Full Time Employed Pop,Pct Full Time Employed,Total Households,Household Median Income,Insurable Pop,Insured Pop,Pct Insured,Uninsured Pop,ADI State Rank,ADI Natl Rank,CA DOI Underserved Flag,Tapestry Seg Nr,Tapestry Seg Code,Tapestry Seg Name,Lifemode Code,Lifemode Group,AS Only,ED Only,Inpatient,Inpatient from ED,Opioid Rx Count,Pop w Opioid Rx,Tot Opioid Rx Fills,C2,C3,C4,C2-C4,"AS per 1,000","ED per 1,000","IP per 1,000","IP via ED per 1,000","C2 per 1,000","C3 per 1,000","C4 per 1,000","C2-C4 per 1,000","Opioid Rx per 1,000","Pop w Opioid Rx per 1,000"
909,94518,Contra Costa,CA,2016,27549,13115,47.6,14434,52.4,18442,8730,62.0,10249,78301,27164,24964,91.9,2200,5.2944655682298265,29.915082382762996,N,7.0,2B,Pleasantville,8.0,Middle Ground,1178.0,8418.0,1179.0,1222.0,10321,3509,9696,900,287,417,1604,42.76017278304112,305.56463029511053,42.79647174126103,44.35732694471669,32.66906239790918,10.41780100911104,15.13666557769792,58.223528984718136,374.64154778757853,127.3730443936259
910,94519,Contra Costa,CA,2016,19594,9589,48.9,10005,51.1,13203,5998,61.0,6804,74351,19385,17611,90.8,1774,4.987412587412587,20.115384615384613,N,7.0,2B,Pleasantville,2.0,Upscale Avenues,923.0,6415.0,898.0,874.0,8145,2586,7743,2825,227,1283,4335,47.10625701745432,327.39614167602326,45.830356231499444,44.60549147698275,144.17678881290192,11.585179136470348,65.47922833520465,221.24119628457692,415.6884760641013,131.97917729917322
911,94520,Contra Costa,CA,2016,39535,20497,51.8,19038,48.2,26538,11814,59.8,13242,51096,39425,31127,79.0,8298,8.270501011008761,60.500561671534484,N,62.0,13C,NeWest Residents,13.0,Next Wave,1667.0,21379.0,2052.0,2104.0,15478,5305,14891,22689,3338,24391,50418,42.165170102440875,540.7613507019097,51.90337675477425,53.21866700392058,573.896547363096,84.431516377893,616.9470089793854,1275.2750727203743,391.5012014670545,134.18489945617807
912,94521,Contra Costa,CA,2016,41854,20221,48.3,21633,51.7,27306,14096,64.5,16069,88339,41696,39138,93.9,2558,4.9677179041470065,20.76856220511547,N,7.0,2B,Pleasantville,2.0,Upscale Avenues,1973.0,12593.0,1781.0,1974.0,18465,6391,17452,1592,187,2226,4005,47.14005829789267,300.879246905911,42.552683136617766,47.16395087685765,38.03698571223778,4.467912266450041,53.184880776030965,95.68977875471879,441.1764705882353,152.6974721651455
913,94523,Contra Costa,CA,2016,34742,16579,47.7,18163,52.3,23534,12116,66.4,13943,94042,34385,32626,94.9,1759,3.854427445526194,14.076031525266574,N,5.0,1E,Exurbanites,2.0,Upscale Avenues,1468.0,8466.0,1551.0,1593.0,12694,4511,11828,17965,2416,12512,32893,42.25433193253123,243.6819987335214,44.64337113580105,45.85228253986529,517.0974612860515,69.54118933855275,360.14046399171036,946.7791146163146,365.3790800759887,129.84284151747164
914,94525,Contra Costa,CA,2016,3103,1412,45.5,1691,54.5,2149,1101,64.7,1436,78750,3074,2902,94.4,172,4.569684638860631,16.464903357070188,N,33.0,8A,City Lights,8.0,Middle Ground,156.0,1133.0,169.0,188.0,1670,522,1598,33,1,9,43,50.27392845633258,365.1305188527232,54.463422494360294,60.58652916532388,10.634869481147277,0.3222687721559781,2.900418949403803,13.857557202707056,538.1888495004835,168.22429906542055
915,94526,Contra Costa,CA,2016,32284,15709,48.7,16575,51.3,18583,9281,65.3,11986,138287,32245,31452,97.5,793,1.5065138092756645,2.9268716345318744,N,1.0,1A,Top Tier,1.0,Affluent Estates,2053.0,6024.0,1185.0,1200.0,9572,4077,8926,7387,3427,10023,20837,63.59187213480362,186.59397844133315,36.70548878701524,37.17011522735721,228.8130343204064,106.15165407012762,310.463387436501,645.4280758270351,296.4936191302193,126.2854664849461
916,94530,Contra Costa,CA,2016,24851,12096,48.7,12755,51.3,16095,7944,62.0,10127,91052,24801,22598,91.1,2203,4.109130094043887,14.984913793103447,N,33.0,8A,City Lights,2.0,Upscale Avenues,1166.0,5428.0,1045.0,970.0,6268,2526,5872,1192,1257,2355,4804,46.91964106072191,218.42179389159392,42.05062170536397,39.032634501629715,47.965876624683105,50.58146553458613,94.76479819725564,193.31214035652488,252.22325057341754,101.64580902176974
917,94531,Contra Costa,CA,2016,44263,21848,49.4,22415,50.6,30195,13613,61.8,12533,90126,44182,41096,93.0,3086,6.805694414257769,34.091719191480124,N,13.0,4A,Soccer Moms,4.0,Family Landscapes,1998.0,18989.0,1946.0,1832.0,18862,6069,18191,36377,3545,25795,65717,45.13928111515261,429.0039084562727,43.964485010053544,41.388970471951744,821.8376522151684,80.08946524184987,582.7666448275082,1484.6937622845267,426.1346948918962,137.1122608047353
918,94533,Solano,CA,2016,72349,35590,49.2,36759,50.8,47610,19886,58.0,22886,57316,70566,62389,88.4,8177,8.026433230346722,52.14641263302439,N,37.0,8E,Front Porches,7.0,Ethnic Enclaves,4568.0,39170.0,3791.0,3750.0,35048,11841,33945,33318,2433,17554,53305,63.13839859569587,541.4034748234253,52.39878920233866,51.83209166678185,460.5177680410234,33.62866107340806,242.62947656498363,736.7759056794151,484.4296396632987,163.66501264703038
919,94534,Solano,CA,2016,37794,18545,49.1,19249,50.9,25060,12384,64.9,12767,98485,37685,35867,95.2,1818,4.507042253521127,17.23860811930406,N,13.0,4A,Soccer Moms,1.0,Affluent Estates,2431.0,9028.0,1481.0,1187.0,11724,4108,11342,15329,1893,11597,28819,64.32237921363179,238.87389532730063,39.18611419802085,31.407101656347567,405.59348044663176,50.08731544689633,306.8476477747791,762.5284436683072,310.2079695189713,108.69450177276816
920,94535,Solano,CA,2016,4269,2289,53.6,1980,46.4,2688,1617,78.1,1089,54692,2877,2858,99.3,19,9.98688319800125,95.99937539038102,N,65.0,14A,Military Proximity,14.0,Scholars and Patriots,128.0,261.0,131.0,24.0,252,109,235,3056,167,1521,4744,29.983602717263995,61.13843991567112,30.686343405949874,5.621925509486999,715.8585148746779,39.11923167018037,356.28952916373856,1111.2672757085968,59.03021784961349,25.53291168892012
921,94536,Alameda,CA,2016,72597,35973,49.6,36624,50.4,47918,26027,70.9,24293,102450,72397,68653,94.8,3744,3.4386792452830184,12.287342767295597,N,9.0,2D,Enterprising Professionals,2.0,Upscale Avenues,3877.0,15880.0,3159.0,2435.0,18359,7345,17485,17028,1511,12578,31117,53.404410650577844,218.74182128738101,43.51419480143807,33.54133090899073,234.55514690689697,20.813532239624227,173.25784812044574,428.62652726696695,252.88923784729394,101.17497968235601
922,94538,Alameda,CA,2016,66493,32868,49.4,33625,50.6,47533,25493,70.1,21489,94193,66009,61859,93.7,4150,3.6951438848920866,15.020008992805755,N,9.0,2D,Enterprising Professionals,2.0,Upscale Avenues,3065.0,16678.0,3022.0,2138.0,15502,6566,14823,59511,7132,50176,116819,46.095077677349494,250.82339494382865,45.44839306393155,32.15376054622291,894.9964657933917,107.25941076504293,754.6057479734709,1756.8616245319056,233.13732272570044,98.74723655121592
