xYear,State,County,Zip,Pph_Frq,rundatetime,Count_Opioid_Pph,Count_Schedule2_Pph,Population
2015,CA,Los Angeles,90831,1-7 Rx/Yr.,01APR2018:11:21:17,0,0,0
2015,CA,Los Angeles,90832,1-7 Rx/Yr.,06MAY2016:00:46:51,0,0,
2015,CA,Los Angeles,90833,1-7 Rx/Yr.,06MAY2016:00:46:51,0,0,
2015,CA,Los Angeles,90834,1-7 Rx/Yr.,06MAY2016:00:46:51,0,0,
2015,CA,Los Angeles,90835,1-7 Rx/Yr.,06MAY2016:00:46:51,0,0,
2015,CA,Los Angeles,90840,1-7 Rx/Yr.,06MAY2016:00:46:51,4,3,
2015,CA,Los Angeles,90842,1-7 Rx/Yr.,06MAY2016:00:46:51,0,0,
2015,CA,Los Angeles,90844,1-7 Rx/Yr.,06MAY2016:00:46:51,0,0,
2015,CA,Los Angeles,90846,1-7 Rx/Yr.,06MAY2016:00:46:51,0,0,
2015,CA,Los Angeles,90847,1-7 Rx/Yr.,06MAY2016:00:46:51,0,0,
2015,CA,Los Angeles,90848,1-7 Rx/Yr.,06MAY2016:00:46:51,0,0,
2015,CA,Los Angeles,90853,1-7 Rx/Yr.,06MAY2016:00:46:51,0,0,
2015,CA,Los Angeles,90895,1-7 Rx/Yr.,06MAY2016:00:46:51,0,0,
2015,CA,Los Angeles,90899,1-7 Rx/Yr.,06MAY2016:00:46:51,0,0,
2015,CA,Los Angeles,91001,1-7 Rx/Yr.,01APR2018:11:21:17,10,11,"36,126"
2015,CA,Los Angeles,91003,1-7 Rx/Yr.,06MAY2016:00:46:51,0,0,
2015,CA,Los Angeles,91006,1-7 Rx/Yr.,01APR2018:11:21:17,40,32,"31,715"
2015,CA,Los Angeles,91007,1-7 Rx/Yr.,01APR2018:11:21:17,58,50,"34,095"
2015,CA,Los Angeles,91008,1-7 Rx/Yr.,01APR2018:11:21:17,0,0,"1,391"
2015,CA,Los Angeles,91009,1-7 Rx/Yr.,06MAY2016:00:46:51,0,0,
2015,CA,Los Angeles,91010,1-7 Rx/Yr.,01APR2018:11:21:17,55,48,"26,074"
