xYear,State,County,Zip,rundatetime,Rx_count_Pat,Rx_count_Pph,Rx_count_Dis,Pat_count,PillCount_Total_Pph,PillCount_Total_Dis,PillCount_Total_Pat,RxCount_Total_Pat,PillCount_Mean_Pat,PatCount_OpBenzo_Pat,MoEquiv_Total_Pph,Schedule2_Rx_Total_Pph,Schedule234Multi_Pat_Total_Pat,PillCount_Schedule234_Rx_Pph,RxCount_Schedule234_Rx_Pph,PillMean_Schedule234_Rx_Pph,PillCount_Schedule2_Rx_Pph,RxCount_Schedule2_Rx_Pph,PillMean_Schedule2_Rx_Pph,RegCount_Pph,RegCount_Dis,PatCount_MultiDisp,PatCount_MultiRxer,InqCount_Pph,InqCount_Dis,PphCount_RxBenzoOpioid,PatCount_Rx90MME,PatCount_Rx40Methadone,Population
2016,CA,Los Angeles,90501,01APR2018:11:21:17,10027,2705,10763,4427,141985,688326,595519,9659,61.7,279,114299,1373,115,12538,227,55.2,151987,2590,58.7,49,50,1,276,1344,19673,17,138,1,"43,180"
2016,CA,Los Angeles,90502,01APR2018:11:21:17,7107,5078,10488,2834,186093,438888,314419,6513,48.3,377,169766,2695,58,13360,289,46.2,219443,5199,42.2,260,52,1,164,5227,1261,25,383,15,"18,010"
2016,CA,Los Angeles,90503,01APR2018:11:21:17,11410,41472,20288,4897,2894919,1346418,643104,10661,60.3,2486,1818585,21866,131,153049,2182,70.1,2928724,40149,72.9,341,91,4,257,133504,16628,131,2413,154,"44,383"
2016,CA,Los Angeles,90504,01APR2018:11:21:17,8080,1357,2040,3414,39566,100438,491162,7767,63.2,78,54923,521,88,1259,54,23.3,29427,826,35.6,17,23,3,213,265,3627,5,97,10,"32,102"
2016,CA,Los Angeles,90505,01APR2018:11:21:17,10422,53418,25138,4434,3006408.5,1841412,596958,9746,61.3,3326,2353420,31434,139,204295,3353,60.9,3571623,61058,58.5,511,83,1,271,102236,64024,217,2959,91,"36,678"
2016,CA,Los Angeles,90506,01APR2018:11:21:17,19,9,0,12,360,0,949,18,52.7,4,209,4,3,0,0,,870,15,58,3,0,0,1,0,0,0,1,1,0
2016,CA,Los Angeles,90507,10SEP2017:10:31:20,34,0,0,12,0,0,2165,34,63.7,0,,0,1,0,0,,0,0,,1,0,0,2,0,0,0,0,0,
2016,CA,Los Angeles,90508,10SEP2017:10:31:20,50,0,0,19,0,0,3775,47,80.3,0,,0,1,0,0,,0,0,,0,0,0,3,0,0,0,0,0,
2016,CA,Los Angeles,90509,10SEP2017:10:31:20,62,10701,0,26,423102,0,3503,62,56.5,473,313952,6587,0,18608,390,47.7,558326,12606,44.3,325,23,0,0,3309,1195,61,465,10,
2016,CA,Los Angeles,90510,10SEP2017:10:31:20,128,0,0,54,0,0,6091,122,49.9,0,,1,0,0,0,,30,1,30,7,0,0,6,12,0,0,0,0,
