xYear,State,County,Age_Group,rundatetime,PatCount_Opioid,Population,,
2015,CA,San Luis Obispo,45-64 yrs,01APR2018:11:21:17,22342,"269,227",,
2015,CA,San Mateo,45-64 yrs,01APR2018:11:21:17,40498,"690,399",,
2015,CA,Santa Barbara,45-64 yrs,01APR2018:11:21:17,29140,"424,106",,
2015,CA,Santa Clara,45-64 yrs,01APR2018:11:21:17,95962,"1,805,212",,
2015,CA,Santa Cruz,45-64 yrs,01APR2018:11:21:17,21319,"280,225",,
2015,CA,Shasta,45-64 yrs,01APR2018:11:21:17,21271,"184,231",,
2015,CA,Sierra,45-64 yrs,01APR2018:11:21:17,246,"2,910",,
2015,CA,Siskiyou,45-64 yrs,01APR2018:11:21:17,4929,"46,055",,
2015,CA,Solano,45-64 yrs,01APR2018:11:21:17,37014,"412,119",,
2015,CA,Sonoma,45-64 yrs,01APR2018:11:21:17,42273,"484,213",,
2015,CA,Stanislaus,45-64 yrs,01APR2018:11:21:17,50336,"518,345",,
2015,CA,Sutter,45-64 yrs,01APR2018:11:21:17,8971,"93,812",,
2015,CA,Tehama,45-64 yrs,01APR2018:11:21:17,6100,"54,639",,
2015,CA,Trinity,45-64 yrs,01APR2018:11:21:17,1586,"13,701",,
2015,CA,Tulare,45-64 yrs,01APR2018:11:21:17,33914,"438,352",,
2015,CA,Tuolumne,45-64 yrs,01APR2018:11:21:17,6499,"54,242",,
2015,CA,Ventura,45-64 yrs,01APR2018:11:21:17,61981,"827,963",,
2015,CA,Yolo,45-64 yrs,01APR2018:11:21:17,13720,"202,753",,
2015,CA,Yuba,45-64 yrs,01APR2018:11:21:17,7733,"71,319",,
